RegionID,RegionName,City,CountyName,Price
71026,30306,Atlanta,Fulton County,491911.0661
71027,30307,Atlanta,Dekalb County,404463.3586
71028,30308,Atlanta,Fulton County,206230.5138
71029,30309,Atlanta,Fulton County,263187.7851
71030,30310,Atlanta,Fulton County,53601.77447
71031,30311,Atlanta,Fulton County,63744.44959
71032,30312,Atlanta,Fulton County,207947.8361
71033,30313,Atlanta,Fulton County,167330.9651
71034,30314,Atlanta,Fulton County,37028.30463
71035,30315,Atlanta,Fulton County,65302.0706
71036,30316,Atlanta,Dekalb County,168070.8991
71037,30317,Atlanta,Dekalb County,236065.0387
71038,30318,Atlanta,Fulton County,147363.9249
71039,30319,Brookhaven,Dekalb County,420537.8908
71043,30324,Atlanta,Fulton County,299320.2648
71045,30326,Atlanta,Fulton County,310630.1808
71046,30327,Atlanta,Fulton County,818588.2472
71047,30328,Sandy Springs,Fulton County,319051.8556
71048,30329,Atlanta,Dekalb County,287431.8554
71055,30337,College Park,Fulton County,114112.8745
71056,30338,Dunwoody,Dekalb County,397773.2126
71057,30339,Vinings,Cobb County,275285.6646
71058,30340,Atlanta,Dekalb County,158650.1038
71059,30341,Chamblee,Dekalb County,239441.7375
71060,30342,Sandy Springs,Fulton County,479106.0864
71062,30344,East Point,Fulton County,65273.85764
71063,30345,Atlanta,Dekalb County,351956.8257
71064,30346,Dunwoody,Dekalb County,274842.7094
71070,30354,Atlanta,Fulton County,62730.89588
71076,30360,Dunwoody,Dekalb County,221188.0553
71079,30363,Atlanta,Fulton County,197940.386
71023,30303,Atlanta,Fulton County,107139.0369
71025,30305,Atlanta,Fulton County,435809.3098
71026,30306,Atlanta,Fulton County,494378.7144
71027,30307,Atlanta,Dekalb County,405117.0169
71028,30308,Atlanta,Fulton County,207294.316
71029,30309,Atlanta,Fulton County,264600.3165
71030,30310,Atlanta,Fulton County,54408.94764
71031,30311,Atlanta,Fulton County,64812.52922
71032,30312,Atlanta,Fulton County,209747.1366
71033,30313,Atlanta,Fulton County,169490.6033
71034,30314,Atlanta,Fulton County,37030.5032
71035,30315,Atlanta,Fulton County,65473.66622
71036,30316,Atlanta,Dekalb County,168762.9718
71037,30317,Atlanta,Dekalb County,236484.0552
71038,30318,Atlanta,Fulton County,147842.704
71039,30319,Brookhaven,Dekalb County,421514.2772
71043,30324,Atlanta,Fulton County,300813.4222
71045,30326,Atlanta,Fulton County,313599.9611
71046,30327,Atlanta,Fulton County,820564.3861
71047,30328,Sandy Springs,Fulton County,320285.5675
71048,30329,Atlanta,Dekalb County,287958.4784
71055,30337,College Park,Fulton County,115023.0334
71056,30338,Dunwoody,Dekalb County,397520.7111
71057,30339,Vinings,Cobb County,276506.2497
71058,30340,Atlanta,Dekalb County,159528.8772
71059,30341,Chamblee,Dekalb County,241054.8747
71060,30342,Sandy Springs,Fulton County,479681.957
71062,30344,East Point,Fulton County,66321.81689
71063,30345,Atlanta,Dekalb County,351826.4006
71064,30346,Dunwoody,Dekalb County,275795.0855
71070,30354,Atlanta,Fulton County,62804.85851
71076,30360,Dunwoody,Dekalb County,222038.8596
71079,30363,Atlanta,Fulton County,199796.9588
71023,30303,Atlanta,Fulton County,108772.7887
71025,30305,Atlanta,Fulton County,438589.3741
71026,30306,Atlanta,Fulton County,496983.6857
71027,30307,Atlanta,Dekalb County,406155.5945
71028,30308,Atlanta,Fulton County,208492.5285
71029,30309,Atlanta,Fulton County,266328.8672
71030,30310,Atlanta,Fulton County,54790.77117
71031,30311,Atlanta,Fulton County,65256.25617
71032,30312,Atlanta,Fulton County,211677.8306
71033,30313,Atlanta,Fulton County,171166.3848
71034,30314,Atlanta,Fulton County,37061.2021
71035,30315,Atlanta,Fulton County,65612.95293
71036,30316,Atlanta,Dekalb County,169308.8788
